company_id,revenue_cagr_3yr,revenue_cagr_3yr_flag,revenue_cagr_5yr,revenue_cagr_5yr_flag,revenue_cagr_10yr,revenue_cagr_10yr_flag,pat_cagr_3yr,pat_cagr_3yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,pat_cagr_10yr,pat_cagr_10yr_flag,eps_cagr_3yr,eps_cagr_3yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,eps_cagr_10yr,eps_cagr_10yr_flag
ABB,10.71,NORMAL,9.72,NORMAL,9.9,NORMAL,20.23,NORMAL,21.69,NORMAL,19.75,NORMAL,20.24,NORMAL,21.66,NORMAL,19.77,NORMAL
ADANIENSOL,18.72,NORMAL,17.85,NORMAL,,ZERO_BASE,-2.49,NORMAL,16.43,NORMAL,,ZERO_BASE,-3.13,NORMAL,14.87,NORMAL,,ZERO_BASE
ADANIENT,34.6,NORMAL,19.02,NORMAL,5.78,NORMAL,47.18,NORMAL,45.81,NORMAL,2.34,NORMAL,51.83,NORMAL,31.95,NORMAL,3.42,NORMAL
ADANIGREEN,43.44,NORMAL,34.98,NORMAL,,INSUFFICIENT,90.59,NORMAL,,TURNAROUND,,INSUFFICIENT,91.29,NORMAL,,TURNAROUND,,INSUFFICIENT
ADANIPORTS,28.63,NORMAL,19.58,NORMAL,18.65,NORMAL,17.08,NORMAL,14.91,NORMAL,16.62,NORMAL,14.98,NORMAL,14.87,NORMAL,16.86,NORMAL
ADANIPOWER,24.29,NORMAL,16.09,NORMAL,12.63,NORMAL,154.07,NORMAL,,TURNAROUND,,TURNAROUND,162.07,NORMAL,,TURNAROUND,,TURNAROUND
AMBUJACEM,4.61,NORMAL,4.12,NORMAL,12.79,NORMAL,8.48,NORMAL,11.23,NORMAL,12.29,NORMAL,4.55,NORMAL,7.78,NORMAL,4.81,NORMAL
APOLLOHOSP,21.75,NORMAL,14.66,NORMAL,15.9,NORMAL,89.68,NORMAL,36.13,NORMAL,11.49,NORMAL,84.69,NORMAL,29.95,NORMAL,10.6,NORMAL
ASIANPAINT,17.8,NORMAL,13.03,NORMAL,11.25,NORMAL,20.12,NORMAL,20.28,NORMAL,15.97,NORMAL,19.98,NORMAL,20.97,NORMAL,15.93,NORMAL
ATGL,38.18,NORMAL,21.09,NORMAL,,INSUFFICIENT,13.0,NORMAL,23.88,NORMAL,,INSUFFICIENT,14.47,NORMAL,24.57,NORMAL,,INSUFFICIENT
AXISBANK,19.97,NORMAL,14.74,NORMAL,13.57,NORMAL,55.69,NORMAL,39.67,NORMAL,14.86,NORMAL,54.41,NORMAL,35.1,NORMAL,12.03,NORMAL
BAJAJ-AUTO,17.38,NORMAL,8.13,NORMAL,8.34,NORMAL,16.64,NORMAL,9.36,NORMAL,8.59,NORMAL,18.0,NORMAL,10.18,NORMAL,8.96,NORMAL
BAJAJFINSV,22.13,NORMAL,20.97,NORMAL,33.75,NORMAL,28.4,NORMAL,23.75,NORMAL,21.68,NORMAL,22.12,NORMAL,20.59,NORMAL,17.69,NORMAL
BAJAJHLDNG,55.01,NORMAL,31.61,NORMAL,14.94,NORMAL,26.32,NORMAL,19.3,NORMAL,13.99,NORMAL,25.8,NORMAL,18.97,NORMAL,13.82,NORMAL
BAJFINANCE,27.26,NORMAL,24.35,NORMAL,,INSUFFICIENT,48.42,NORMAL,29.32,NORMAL,,INSUFFICIENT,47.23,NORMAL,27.56,NORMAL,,INSUFFICIENT
BANKBARODA,16.79,NORMAL,17.48,NORMAL,11.33,NORMAL,126.68,NORMAL,74.51,NORMAL,14.12,NORMAL,128.94,NORMAL,55.18,NORMAL,4.58,NORMAL
BEL,12.83,NORMAL,10.75,NORMAL,12.01,NORMAL,23.8,NORMAL,16.13,NORMAL,15.39,NORMAL,18.56,NORMAL,10.76,NORMAL,17.46,NORMAL
BHARTIARTL,14.23,NORMAL,13.17,NORMAL,5.74,NORMAL,,TURNAROUND,38.36,NORMAL,10.98,NORMAL,,TURNAROUND,67.03,NORMAL,10.03,NORMAL
BHEL,11.34,NORMAL,-4.73,NORMAL,-4.92,NORMAL,,TURNAROUND,-22.4,NORMAL,-22.27,NORMAL,,TURNAROUND,-19.73,NORMAL,-20.57,NORMAL
BOSCHLTD,19.84,NORMAL,6.72,NORMAL,6.69,NORMAL,72.87,NORMAL,9.28,NORMAL,10.9,NORMAL,72.65,NORMAL,9.26,NORMAL,11.59,NORMAL
BPCL,24.86,NORMAL,8.48,NORMAL,5.42,NORMAL,15.75,NORMAL,25.79,NORMAL,20.82,NORMAL,18.78,NORMAL,28.06,NORMAL,21.29,NORMAL
BRITANNIA,8.48,NORMAL,8.69,NORMAL,9.27,NORMAL,4.86,NORMAL,13.06,NORMAL,18.37,NORMAL,4.95,NORMAL,13.14,NORMAL,18.72,NORMAL
CANBK,16.3,NORMAL,18.18,NORMAL,10.82,NORMAL,73.34,NORMAL,85.78,NORMAL,19.14,NORMAL,61.98,NORMAL,53.42,NORMAL,5.45,NORMAL
CHOLAFIN,25.99,NORMAL,21.94,NORMAL,19.31,NORMAL,31.01,NORMAL,23.36,NORMAL,24.97,NORMAL,29.22,NORMAL,22.28,NORMAL,23.42,NORMAL
CIPLA,10.39,NORMAL,9.51,NORMAL,9.74,NORMAL,20.25,NORMAL,22.73,NORMAL,11.46,NORMAL,19.35,NORMAL,21.83,NORMAL,11.61,NORMAL
COALINDIA,16.49,NORMAL,7.4,NORMAL,7.26,NORMAL,43.29,NORMAL,16.43,NORMAL,9.48,NORMAL,42.68,NORMAL,16.85,NORMAL,9.78,NORMAL
DABUR,9.06,NORMAL,7.81,NORMAL,5.8,NORMAL,2.23,NORMAL,4.6,NORMAL,7.05,NORMAL,0.0,NORMAL,4.56,NORMAL,7.18,NORMAL
DIVISLAB,4.03,NORMAL,9.66,NORMAL,11.97,NORMAL,-6.92,NORMAL,3.41,NORMAL,7.55,NORMAL,-7.17,NORMAL,3.3,NORMAL,7.54,NORMAL
DLF,5.88,NORMAL,-5.14,NORMAL,-2.52,NORMAL,36.0,NORMAL,15.7,NORMAL,16.53,NORMAL,40.1,NORMAL,12.89,NORMAL,10.65,NORMAL
DMART,28.13,NORMAL,20.48,NORMAL,26.91,NORMAL,32.14,NORMAL,22.97,NORMAL,31.74,NORMAL,31.89,NORMAL,22.74,NORMAL,29.24,NORMAL
DRREDDY,13.72,NORMAL,12.64,NORMAL,7.64,NORMAL,41.91,NORMAL,23.39,NORMAL,11.01,NORMAL,42.82,NORMAL,23.84,NORMAL,11.28,NORMAL
EICHERMOT,23.78,NORMAL,11.04,NORMAL,6.59,NORMAL,43.75,NORMAL,12.68,NORMAL,19.01,NORMAL,43.9,NORMAL,12.51,NORMAL,20.3,NORMAL
GAIL,32.42,NORMAL,11.83,NORMAL,7.99,NORMAL,17.25,NORMAL,8.61,NORMAL,7.54,NORMAL,18.56,NORMAL,8.45,NORMAL,7.92,NORMAL
GODREJCP,8.52,NORMAL,6.45,NORMAL,6.37,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
GRASIM,19.68,NORMAL,11.15,NORMAL,16.54,NORMAL,12.42,NORMAL,29.31,NORMAL,12.89,NORMAL,10.5,NORMAL,27.73,NORMAL,6.81,NORMAL
HAL,9.91,NORMAL,8.71,NORMAL,7.22,NORMAL,32.85,NORMAL,26.49,NORMAL,10.92,NORMAL,33.42,NORMAL,26.64,NORMAL,15.07,NORMAL
HAVELLS,21.14,NORMAL,13.04,NORMAL,8.73,NORMAL,6.78,NORMAL,10.03,NORMAL,11.04,NORMAL,5.57,NORMAL,9.0,NORMAL,11.07,NORMAL
HCLTECH,13.4,NORMAL,12.71,NORMAL,13.08,NORMAL,12.04,NORMAL,9.19,NORMAL,9.18,NORMAL,12.26,NORMAL,9.41,NORMAL,9.69,NORMAL
HDFCBANK,30.19,NORMAL,21.95,NORMAL,20.89,NORMAL,27.12,NORMAL,23.87,NORMAL,22.26,NORMAL,13.14,NORMAL,15.42,NORMAL,16.65,NORMAL
HDFCLIFE,12.37,NORMAL,21.17,NORMAL,19.45,NORMAL,4.97,NORMAL,4.25,NORMAL,8.06,NORMAL,0.0,NORMAL,3.13,NORMAL,5.76,NORMAL
HEROMOTOCO,6.87,NORMAL,2.15,NORMAL,4.1,NORMAL,8.42,NORMAL,1.54,NORMAL,5.94,NORMAL,8.6,NORMAL,1.69,NORMAL,5.94,NORMAL
HINDALCO,17.83,NORMAL,10.59,NORMAL,9.43,NORMAL,42.86,NORMAL,13.07,NORMAL,16.55,NORMAL,41.16,NORMAL,13.4,NORMAL,15.13,NORMAL
HINDUNILVR,9.59,NORMAL,9.5,NORMAL,7.79,NORMAL,8.73,NORMAL,11.15,NORMAL,10.02,NORMAL,8.97,NORMAL,9.46,NORMAL,9.35,NORMAL
ICICIBANK,21.4,NORMAL,17.25,NORMAL,12.42,NORMAL,31.29,NORMAL,51.95,NORMAL,14.71,NORMAL,32.64,NORMAL,55.18,NORMAL,14.0,NORMAL
ICICIGI,18.99,NORMAL,12.91,NORMAL,16.76,NORMAL,9.22,NORMAL,12.84,NORMAL,13.95,NORMAL,6.82,NORMAL,11.14,NORMAL,12.51,NORMAL
ICICIPRULI,2.78,NORMAL,16.85,NORMAL,15.23,NORMAL,-3.8,NORMAL,-5.66,NORMAL,-5.89,NORMAL,-5.01,NORMAL,-5.59,NORMAL,-5.88,NORMAL
INDIGO,67.58,NORMAL,19.31,NORMAL,20.01,NORMAL,,TURNAROUND,120.69,NORMAL,32.93,NORMAL,,TURNAROUND,121.24,NORMAL,-34.88,NORMAL
INDUSINDBK,16.41,NORMAL,15.5,NORMAL,18.68,NORMAL,46.68,NORMAL,22.08,NORMAL,20.32,NORMAL,45.94,NORMAL,15.9,NORMAL,15.59,NORMAL
INFY,15.22,NORMAL,13.2,NORMAL,11.85,NORMAL,10.56,NORMAL,11.24,NORMAL,9.43,NORMAL,11.87,NORMAL,12.47,NORMAL,10.6,NORMAL
IOC,28.73,NORMAL,8.01,NORMAL,4.74,NORMAL,25.64,NORMAL,20.1,NORMAL,20.01,NORMAL,25.99,NORMAL,20.11,NORMAL,19.62,NORMAL
IRCTC,76.47,NORMAL,17.96,NORMAL,,INSUFFICIENT,81.12,NORMAL,29.17,NORMAL,,INSUFFICIENT,91.29,NORMAL,28.47,NORMAL,,INSUFFICIENT
IRFC,19.1,NORMAL,19.07,NORMAL,15.7,NORMAL,13.24,NORMAL,23.25,NORMAL,24.77,NORMAL,18.56,NORMAL,20.11,NORMAL,-31.15,NORMAL
ITC,12.89,NORMAL,7.95,NORMAL,7.22,NORMAL,15.74,NORMAL,10.08,NORMAL,8.71,NORMAL,13.3,NORMAL,9.86,NORMAL,8.62,NORMAL
JINDALSTEL,13.35,NORMAL,1.4,NORMAL,10.07,NORMAL,11.68,NORMAL,,TURNAROUND,12.1,NORMAL,17.23,NORMAL,,TURNAROUND,10.69,NORMAL
JIOFIN,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT,,INSUFFICIENT
JSWENERGY,18.39,NORMAL,4.68,NORMAL,2.88,NORMAL,27.98,NORMAL,20.32,NORMAL,8.54,NORMAL,25.99,NORMAL,20.11,NORMAL,7.18,NORMAL
JSWSTEEL,29.9,NORMAL,15.6,NORMAL,13.07,NORMAL,4.46,NORMAL,3.59,NORMAL,36.42,NORMAL,2.94,NORMAL,2.38,NORMAL,33.51,NORMAL
KOTAKBANK,19.66,NORMAL,13.52,NORMAL,16.72,NORMAL,22.16,NORMAL,20.38,NORMAL,21.84,NORMAL,22.54,NORMAL,19.34,NORMAL,19.12,NORMAL
LICI,6.98,NORMAL,8.16,NORMAL,,INSUFFICIENT,139.62,NORMAL,73.18,NORMAL,,INSUFFICIENT,111.26,NORMAL,,UNKNOWN,,INSUFFICIENT
LODHA,23.71,NORMAL,-2.83,NORMAL,13.32,NORMAL,218.72,NORMAL,-1.12,NORMAL,15.09,NORMAL,151.98,NORMAL,-5.29,NORMAL,5.92,NORMAL
LT,17.59,NORMAL,10.34,NORMAL,10.03,NORMAL,6.36,NORMAL,8.76,NORMAL,12.27,NORMAL,5.03,NORMAL,8.56,NORMAL,10.5,NORMAL
LTIM,42.13,NORMAL,30.33,NORMAL,21.86,NORMAL,33.25,NORMAL,24.78,NORMAL,16.5,NORMAL,11.77,NORMAL,12.24,NORMAL,-6.67,NORMAL
M&M,23.25,NORMAL,5.84,NORMAL,6.51,NORMAL,100.95,NORMAL,15.32,NORMAL,9.06,NORMAL,82.38,NORMAL,16.18,NORMAL,9.13,NORMAL
MARUTI,26.32,NORMAL,10.51,NORMAL,12.28,NORMAL,45.39,NORMAL,12.01,NORMAL,16.8,NORMAL,43.56,NORMAL,11.14,NORMAL,16.39,NORMAL
MOTHERSON,19.82,NORMAL,9.21,NORMAL,12.49,NORMAL,24.39,NORMAL,7.56,NORMAL,10.66,NORMAL,25.99,NORMAL,5.92,NORMAL,7.18,NORMAL
NAUKRI,31.0,NORMAL,17.12,NORMAL,16.16,NORMAL,-25.13,NORMAL,0.1,NORMAL,25.79,NORMAL,-26.32,NORMAL,-2.13,NORMAL,18.59,NORMAL
NESTLEIND,18.28,NORMAL,14.55,NORMAL,9.49,NORMAL,22.91,NORMAL,14.85,NORMAL,12.75,NORMAL,23.06,NORMAL,15.44,NORMAL,13.07,NORMAL
NHPC,-0.06,NORMAL,1.4,NORMAL,2.69,NORMAL,3.82,NORMAL,7.27,NORMAL,9.45,NORMAL,10.06,NORMAL,5.92,NORMAL,14.87,NORMAL
NTPC,16.97,NORMAL,12.22,NORMAL,8.59,NORMAL,12.53,NORMAL,8.74,NORMAL,6.46,NORMAL,11.87,NORMAL,8.45,NORMAL,5.76,NORMAL
ONGC,24.86,NORMAL,7.0,NORMAL,13.01,NORMAL,38.79,NORMAL,10.97,NORMAL,7.91,NORMAL,44.22,NORMAL,10.2,NORMAL,6.39,NORMAL
PFC,8.49,NORMAL,11.08,NORMAL,15.64,NORMAL,18.97,NORMAL,15.92,NORMAL,17.09,NORMAL,18.56,NORMAL,14.87,NORMAL,13.44,NORMAL
PIDILITIND,19.3,NORMAL,11.84,NORMAL,11.2,NORMAL,15.77,NORMAL,13.49,NORMAL,14.53,NORMAL,15.62,NORMAL,13.56,NORMAL,14.22,NORMAL
PNB,10.0,NORMAL,15.9,NORMAL,9.27,NORMAL,50.34,NORMAL,,TURNAROUND,9.56,NORMAL,58.74,NORMAL,,TURNAROUND,-8.76,NORMAL
POWERGRID,4.97,NORMAL,5.51,NORMAL,11.41,NORMAL,8.97,NORMAL,9.19,NORMAL,13.1,NORMAL,9.35,NORMAL,9.1,NORMAL,13.02,NORMAL
RECLTD,10.15,NORMAL,13.34,NORMAL,10.68,NORMAL,19.08,NORMAL,19.76,NORMAL,11.55,NORMAL,19.06,NORMAL,19.67,NORMAL,11.61,NORMAL
RELIANCE,24.46,NORMAL,9.61,NORMAL,7.57,NORMAL,13.71,NORMAL,14.68,NORMAL,13.36,NORMAL,9.35,NORMAL,11.95,NORMAL,12.29,NORMAL
SBILIFE,17.24,NORMAL,24.23,NORMAL,22.56,NORMAL,9.16,NORMAL,7.37,NORMAL,10.03,NORMAL,8.2,NORMAL,7.89,NORMAL,10.5,NORMAL
SBIN,16.45,NORMAL,11.63,NORMAL,8.79,NORMAL,42.79,NORMAL,83.41,NORMAL,16.73,NORMAL,44.22,NORMAL,90.37,NORMAL,14.72,NORMAL
SHREECEM,14.81,NORMAL,10.33,NORMAL,13.64,NORMAL,-9.49,NORMAL,11.29,NORMAL,8.21,NORMAL,-9.43,NORMAL,10.68,NORMAL,7.82,NORMAL
SHRIRAMFIN,27.83,NORMAL,18.56,NORMAL,15.68,NORMAL,43.59,NORMAL,23.49,NORMAL,18.48,NORMAL,29.4,NORMAL,14.29,NORMAL,13.49,NORMAL
SIEMENS,19.0,NORMAL,11.19,NORMAL,7.61,NORMAL,35.65,NORMAL,19.85,NORMAL,16.25,NORMAL,34.84,NORMAL,19.64,NORMAL,16.15,NORMAL
SUNPHARMA,13.13,NORMAL,10.78,NORMAL,11.67,NORMAL,61.72,NORMAL,24.54,NORMAL,9.5,NORMAL,49.38,NORMAL,29.46,NORMAL,10.31,NORMAL
TATACONSUM,9.44,NORMAL,15.96,NORMAL,6.99,NORMAL,9.32,NORMAL,21.6,NORMAL,9.07,NORMAL,10.06,NORMAL,14.87,NORMAL,5.54,NORMAL
TATAMOTORS,20.58,NORMAL,7.72,NORMAL,6.52,NORMAL,,TURNAROUND,,TURNAROUND,8.51,NORMAL,,TURNAROUND,,TURNAROUND,6.95,NORMAL
TATAPOWER,23.4,NORMAL,15.51,NORMAL,5.57,NORMAL,43.81,NORMAL,10.43,NORMAL,79.98,NORMAL,44.22,NORMAL,5.92,NORMAL,,TURNAROUND
TATASTEEL,13.61,NORMAL,7.77,NORMAL,4.43,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
TCS,13.63,NORMAL,10.46,NORMAL,11.4,NORMAL,12.29,NORMAL,7.87,NORMAL,9.08,NORMAL,13.01,NORMAL,8.62,NORMAL,9.99,NORMAL
TECHM,11.16,NORMAL,8.4,NORMAL,10.71,NORMAL,-18.04,NORMAL,-10.99,NORMAL,-2.42,NORMAL,-19.5,NORMAL,-11.42,NORMAL,-2.84,NORMAL
TITAN,33.14,NORMAL,20.9,NORMAL,16.68,NORMAL,53.11,NORMAL,20.27,NORMAL,16.88,NORMAL,52.48,NORMAL,19.51,NORMAL,17.16,NORMAL
TORNTPHARM,10.25,NORMAL,6.93,NORMAL,9.9,NORMAL,9.77,NORMAL,30.59,NORMAL,9.57,NORMAL,9.82,NORMAL,30.39,NORMAL,9.37,NORMAL
TRENT,68.36,NORMAL,36.31,NORMAL,18.16,NORMAL,,TURNAROUND,73.11,NORMAL,,TURNAROUND,,TURNAROUND,69.52,NORMAL,,TURNAROUND
TVSMOTOR,26.32,NORMAL,14.19,NORMAL,16.66,NORMAL,43.03,NORMAL,19.67,NORMAL,25.27,NORMAL,40.43,NORMAL,19.14,NORMAL,24.57,NORMAL
ULTRACEMCO,16.6,NORMAL,11.33,NORMAL,13.09,NORMAL,8.64,NORMAL,23.89,NORMAL,12.21,NORMAL,8.74,NORMAL,22.53,NORMAL,11.75,NORMAL
UNIONBANK,13.14,NORMAL,23.95,NORMAL,13.07,NORMAL,68.91,NORMAL,,TURNAROUND,23.39,NORMAL,65.1,NORMAL,,TURNAROUND,-3.97,NORMAL
UNITDSPR,11.66,NORMAL,3.92,NORMAL,0.75,NORMAL,57.26,NORMAL,15.53,NORMAL,,TURNAROUND,56.05,NORMAL,13.7,NORMAL,,TURNAROUND
VBL,35.49,NORMAL,25.74,NORMAL,22.46,NORMAL,80.57,NORMAL,47.61,NORMAL,,TURNAROUND,81.71,NORMAL,43.1,NORMAL,,ZERO_BASE
VEDL,17.76,NORMAL,9.32,NORMAL,8.07,NORMAL,-20.55,NORMAL,-4.91,NORMAL,-4.07,NORMAL,-29.2,NORMAL,-10.35,NORMAL,-6.26,NORMAL
WIPRO,13.17,NORMAL,8.75,NORMAL,7.53,NORMAL,0.74,NORMAL,4.26,NORMAL,3.35,NORMAL,3.23,NORMAL,9.46,NORMAL,6.25,NORMAL
ZOMATO,82.47,NORMAL,55.96,NORMAL,,INSUFFICIENT,,TURNAROUND,,TURNAROUND,,INSUFFICIENT,,UNKNOWN,,UNKNOWN,,INSUFFICIENT
ZYDUSLIFE,10.71,NORMAL,8.22,NORMAL,10.47,NORMAL,22.06,NORMAL,15.91,NORMAL,16.87,NORMAL,21.86,NORMAL,16.12,NORMAL,16.86,NORMAL
